file_names,steering,throttle,Angles,Norm_angles
02_09__23_31_32_47.jpg,1471,1468,-1.22,-0.08
02_09__23_31_32_65.jpg,1472,1468,-1.13,-0.07
02_09__23_31_32_75.jpg,1472,1468,-1.13,-0.07
02_09__23_31_32_86.jpg,1472,1468,-1.13,-0.07
02_09__23_31_32_86.jpg,1472,1469,-1.13,-0.07
02_09__23_31_32_96.jpg,1472,1468,-1.13,-0.07
02_09__23_31_33_06.jpg,1471,1468,-1.22,-0.08
02_09__23_31_33_17.jpg,1471,1468,-1.22,-0.08
02_09__23_31_33_27.jpg,1478,1468,-0.61,-0.06
02_09__23_31_33_37.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_37.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_48.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_58.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_69.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_79.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_89.jpg,1478,1462,-0.61,-0.06
02_09__23_31_33_89.jpg,1478,1462,-0.61,-0.06
02_09__23_31_34_00.jpg,1472,1468,-1.13,-0.07
02_09__23_31_34_10.jpg,1472,1468,-1.13,-0.07
02_09__23_31_34_21.jpg,1471,1468,-1.22,-0.08
02_09__23_31_34_21.jpg,1472,1468,-1.13,-0.07
02_09__23_31_34_31.jpg,1471,1468,-1.22,-0.08
02_09__23_31_34_41.jpg,1472,1468,-1.13,-0.07
02_09__23_31_34_52.jpg,1471,1468,-1.22,-0.08
02_09__23_31_34_63.jpg,1471,1468,-1.22,-0.08
02_09__23_31_34_73.jpg,1478,1468,-0.61,-0.06
02_09__23_31_34_73.jpg,1478,1468,-0.61,-0.06
02_09__23_31_34_83.jpg,1478,1461,-0.61,-0.06
02_09__23_31_34_95.jpg,1478,1462,-0.61,-0.06
02_09__23_31_35_04.jpg,1478,1462,-0.61,-0.06
02_09__23_31_35_14.jpg,1478,1462,-0.61,-0.06
02_09__23_31_35_25.jpg,1478,1462,-0.61,-0.06
02_09__23_31_35_25.jpg,1478,1462,-0.61,-0.06
